SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
PA,14,M,0,522.7,499.9,532.7,504.4,600.0,E
PI,14,F,1,405.1,462.0,459.7,464.3,440.0,B
PI,14,M,1,585.3,596.8,450.0,743.6,680.0,I
CE,14,F,0,484.4,458.5,547.2,511.1,580.0,D
PA,14,M,0,454.8,428.6,455.7,499.3,600.0,D
PA,14,F,1,,,,,,B
PA,14,F,1,592.9,507.9,591.9,536.2,600.0,E
MA,14,F,0,397.4,473.9,453.6,401.0,580.0,H
PI,14,F,1,440.8,437.3,474.8,471.6,560.0,A
PA,14,M,0,505.3,608.0,585.1,728.5,660.0,Q
MA,14,F,1,491.6,442.5,550.4,437.4,460.0,C
PI,14,F,0,411.1,476.4,491.4,384.2,380.0,C
PA,14,M,1,459.3,601.3,554.2,697.9,760.0,I
AP,14,M,0,363.2,350.2,384.7,496.3,480.0,B
MA,14,F,1,547.6,578.0,616.9,425.1,660.0,B
MA,14,M,0,407.1,526.1,510.6,437.6,500.0,I
MA,14,F,0,519.7,557.4,582.1,642.9,740.0,G
MA,14,M,1,464.1,373.5,503.6,536.4,480.0,G
PI,14,M,1,540.1,546.7,553.0,567.7,780.0,M
TO,14,M,1,375.8,532.4,487.2,638.9,560.0,G
MA,14,F,0,,,,,,C
MA,14,F,1,373.9,488.6,476.8,501.3,600.0,I
PI,14,F,1,482.0,436.0,523.2,585.0,700.0,B
PI,14,M,1,541.5,548.1,587.5,725.2,700.0,C
PI,14,M,0,448.1,533.3,490.6,512.0,580.0,B
PA,14,F,1,430.3,405.7,515.7,573.7,560.0,A
PA,14,M,1,498.2,455.9,498.2,482.5,400.0,K
MA,14,M,1,,,,,,B
PI,13,M,0,,,,,,N
MA,14,M,0,355.3,472.0,525.5,432.3,260.0,B
MA,14,F,1,532.9,556.0,544.8,570.9,680.0,D
MA,13,F,0,,466.0,507.4,,0.0,B
PI,14,M,1,516.7,560.7,574.7,614.2,600.0,A
MA,13,M,1,391.0,476.0,399.0,413.5,400.0,B
MA,14,F,0,400.2,448.8,505.0,438.2,600.0,E
PI,14,M,0,608.0,548.9,576.3,646.1,600.0,E
PA,14,F,1,492.8,411.8,476.4,453.2,460.0,C
PA,14,M,0,470.7,616.8,590.3,554.2,660.0,K
MA,14,M,1,547.9,578.0,543.6,607.7,640.0,J
TO,14,F,0,505.8,564.4,598.4,684.2,760.0,D
MA,14,F,0,397.1,501.0,555.8,520.5,560.0,G
CE,14,F,0,,,,,,B
AP,14,M,0,554.8,559.8,532.5,541.2,740.0,K
MG,14,F,0,,551.2,524.4,,600.0,C
MG,8,M,0,,,,,,C
MG,14,F,0,390.1,413.6,467.1,527.1,600.0,C
ES,14,F,0,379.7,469.1,430.9,465.2,320.0,D
RJ,14,F,0,,,,,,C
MG,14,F,0,455.5,437.5,474.9,503.7,580.0,G
ES,14,M,0,581.9,610.8,601.0,651.4,640.0,F
RJ,14,F,0,,,,,,B
MG,14,M,0,374.1,469.0,422.0,408.7,220.0,D
MG,14,M,0,559.8,474.5,506.3,480.0,440.0,A
MG,14,F,1,492.7,552.8,618.2,759.6,740.0,M
PA,14,M,1,463.6,443.3,499.5,653.1,800.0,E
PA,14,F,0,510.8,601.5,574.2,571.2,580.0,I
PA,14,F,0,392.0,567.2,571.7,573.9,640.0,K
PA,14,F,1,507.4,573.6,562.3,462.0,600.0,H
PA,14,F,1,563.9,577.9,562.7,587.7,600.0,E
RO,14,F,0,437.2,475.3,494.0,434.9,260.0,C
PA,14,F,1,344.7,338.7,444.1,406.4,340.0,B
PA,14,F,1,451.7,479.0,449.9,381.2,600.0,B
RO,14,F,0,560.3,543.3,571.3,607.0,500.0,J
PA,13,F,0,509.3,506.7,567.8,447.5,780.0,O
PA,14,F,1,374.5,541.4,508.4,493.9,360.0,D
AC,14,F,1,436.0,521.3,511.0,535.9,600.0,C
PA,14,F,0,,,,,,Q
PA,14,F,0,359.3,488.3,480.0,417.2,700.0,H
PA,14,M,1,547.6,431.3,548.4,540.2,640.0,C
PA,14,F,1,419.8,,,427.7,,C
AM,12,M,0,465.5,559.2,426.1,519.6,560.0,B
PA,14,F,1,470.1,575.0,533.6,539.0,540.0,B
PA,13,F,1,412.1,344.0,429.8,408.5,600.0,G
PA,13,M,0,355.2,452.8,425.3,401.8,620.0,B
PA,13,F,0,466.3,489.5,534.7,497.2,560.0,J
PA,14,F,0,435.2,506.6,465.4,636.7,480.0,P
RO,14,F,1,501.8,577.9,498.3,608.9,480.0,D
AM,13,M,1,,545.1,519.5,,560.0,N
PA,14,M,0,386.4,580.5,500.1,473.5,660.0,M
PA,14,F,1,357.4,373.5,417.1,484.4,340.0,C
PA,14,M,1,544.1,579.8,575.7,678.0,460.0,G
PA,14,F,0,,,,,,B
PA,13,M,1,,,,,,K
PA,14,M,1,,,,,,C
PA,14,F,0,435.1,579.2,558.9,678.9,660.0,N
PA,14,F,1,387.3,438.3,517.6,386.2,580.0,E
AM,14,F,0,381.9,551.5,546.8,364.2,480.0,C
AC,14,F,1,461.0,455.3,520.5,433.3,320.0,P
PA,14,M,1,539.5,602.5,554.9,686.1,560.0,D
PA,14,M,0,551.0,623.3,579.4,692.4,680.0,L
PA,14,F,1,494.5,580.6,606.9,600.9,800.0,I
PA,14,F,0,397.3,491.5,570.9,484.8,660.0,E
PA,13,M,0,533.9,565.1,515.2,601.5,680.0,O
PA,14,F,1,451.0,536.2,534.4,483.1,600.0,I
PA,14,F,1,,478.7,519.1,,0.0,C
AM,14,F,0,,533.6,591.0,,600.0,B
PA,14,F,0,580.0,586.0,627.5,638.3,720.0,H
PA,13,F,1,376.8,534.1,537.9,447.8,520.0,K
PA,14,M,1,533.7,525.7,571.8,413.5,800.0,C
PA,14,F,0,366.8,443.7,423.0,411.0,360.0,C
PA,14,F,1,435.8,477.2,450.0,455.0,460.0,I
RO,14,M,1,515.7,568.4,545.2,709.4,580.0,J
AM,14,M,0,,520.4,574.0,,600.0,L
PA,14,F,1,509.0,415.8,519.9,559.8,400.0,F
PA,14,F,0,577.3,558.9,585.3,537.0,880.0,J
PA,14,F,1,406.0,566.1,556.3,426.7,640.0,G
PA,14,F,0,552.9,569.8,579.8,629.5,880.0,O
PA,14,M,1,432.6,469.9,395.6,523.1,560.0,D
AM,14,M,1,473.0,456.0,473.1,419.7,480.0,C
RR,14,M,0,467.7,433.1,475.4,422.5,600.0,G
RR,14,M,0,425.5,455.8,563.1,594.2,680.0,N
PA,14,F,1,554.2,580.5,564.9,665.1,920.0,D
PA,14,F,1,433.5,514.1,525.0,496.8,740.0,I
RO,14,F,1,514.8,507.9,565.5,603.6,500.0,F
RO,14,F,0,452.9,442.3,512.8,504.3,640.0,F
PA,14,F,1,462.3,452.3,521.7,546.3,580.0,I
PA,14,F,0,434.5,514.0,525.8,631.8,900.0,O
CE,14,M,0,421.3,580.8,551.6,618.1,400.0,O
CE,14,F,1,520.8,538.9,589.3,621.3,660.0,F
MA,14,F,0,399.1,370.1,366.6,475.5,440.0,B
MA,14,M,0,549.4,405.0,446.4,424.4,360.0,H
MA,14,M,1,436.8,409.5,427.6,400.7,0.0,C
MA,14,F,0,480.4,555.2,422.8,515.5,720.0,C
MA,13,M,0,486.1,461.8,461.5,445.8,560.0,F
MA,14,F,0,510.7,585.4,585.1,557.0,760.0,I
PI,14,F,1,477.7,532.0,449.3,579.3,820.0,B
MA,14,M,0,,,,,,C
MA,14,M,0,550.2,445.3,493.1,575.1,580.0,B
MA,14,F,1,443.5,423.8,407.4,475.8,500.0,A
MA,14,M,1,426.9,486.0,512.8,561.7,520.0,A
MA,14,M,0,,385.8,399.3,,260.0,D
PI,14,F,1,525.3,477.8,560.4,473.2,760.0,F
PI,14,M,1,627.6,672.3,592.4,830.6,820.0,F
CE,14,M,0,444.3,513.2,485.9,633.8,540.0,Q
PI,14,F,0,438.4,399.1,456.0,364.6,0.0,C
PI,14,F,1,404.8,407.2,472.6,505.0,620.0,B
MA,14,F,1,,,,,,F
MA,14,M,0,404.0,393.5,493.5,404.2,620.0,C
PI,13,F,1,404.1,494.4,504.1,495.5,720.0,B
MA,14,F,0,433.5,422.9,432.8,447.2,600.0,H
CE,14,F,0,424.0,518.7,413.0,506.2,560.0,C
MA,14,F,0,486.2,570.4,519.7,472.1,760.0,H
PI,14,F,0,561.5,597.6,540.4,457.7,560.0,F
MA,14,M,0,388.7,383.1,464.9,489.9,540.0,Q
MA,14,F,0,,,,,,G
MA,14,M,1,378.0,502.2,487.8,388.6,540.0,C
PI,14,F,1,338.5,428.1,465.5,516.0,420.0,B
PI,14,F,1,426.5,393.0,480.6,528.2,640.0,D
CE,14,M,1,,,,,,D
MA,14,F,1,447.4,621.6,584.6,675.8,760.0,J
MA,14,F,1,449.4,410.4,447.5,406.6,400.0,B
PI,14,F,0,553.2,459.4,525.9,589.9,760.0,B
PI,14,M,1,486.4,591.4,584.9,583.7,720.0,E
PI,14,F,0,527.8,,,628.7,,N
CE,14,F,1,587.4,645.9,608.6,740.4,640.0,B
CE,14,M,0,,538.5,538.9,,0.0,G
CE,14,F,1,471.6,507.8,485.7,494.6,740.0,D
MA,14,F,0,471.6,514.6,555.5,574.0,600.0,D
MA,14,M,1,421.6,524.8,566.8,570.4,560.0,E
PI,14,M,0,529.4,597.4,577.9,422.8,520.0,Q
CE,14,M,1,472.3,567.5,525.8,432.8,520.0,B
MA,14,F,1,,,,,,F
MA,14,M,1,494.3,388.0,392.9,508.1,540.0,L
MA,14,F,1,411.7,480.8,467.5,477.1,580.0,E
PI,14,F,1,465.3,543.7,568.3,673.1,720.0,J
PI,14,F,1,468.5,555.1,517.5,411.6,520.0,B
MA,14,F,1,410.7,521.2,521.7,417.4,580.0,B
MA,14,F,1,,,,,,B
MA,14,F,0,451.5,536.5,544.0,497.5,480.0,A
PI,14,M,0,,,,,,Q
CE,14,M,0,467.3,416.9,494.3,492.1,840.0,G
MA,13,M,0,408.7,567.2,531.7,683.6,740.0,C
MA,14,F,0,,,,,,C
MA,14,F,0,420.9,490.3,554.2,476.6,640.0,C
MA,13,F,0,468.1,491.7,468.0,435.3,0.0,M
MA,14,F,0,496.0,561.3,568.8,494.4,840.0,F
MA,14,F,1,480.0,487.7,570.1,541.0,620.0,Q
MA,14,F,0,593.1,555.5,554.6,662.3,580.0,I
PI,14,F,1,354.1,417.3,551.2,585.0,500.0,F
SP,14,M,0,459.5,428.6,421.9,549.6,0.0,C
SP,13,F,0,566.0,547.3,425.2,533.3,920.0,F
SP,14,M,0,0.0,671.2,607.8,851.0,700.0,O
SP,14,M,1,,361.0,464.3,,520.0,K
SP,7,M,0,,,,,,E
SP,4,F,0,365.0,505.5,548.3,511.1,480.0,C
SP,14,F,0,528.9,553.9,583.9,589.4,460.0,I
SP,14,F,0,548.7,557.7,514.6,547.7,460.0,O
SP,8,F,0,468.3,414.4,554.3,424.3,580.0,C
SP,14,F,1,574.0,526.5,580.6,511.7,620.0,M
SP,14,F,0,481.1,454.3,518.7,494.8,360.0,O
SP,14,M,1,565.6,558.0,559.2,624.1,520.0,N
SP,14,M,0,,451.0,557.3,,0.0,M
SP,14,F,0,478.5,499.2,530.9,523.3,500.0,I
RJ,14,F,1,452.2,495.3,498.4,389.0,560.0,D
SP,14,M,0,,358.6,504.8,,520.0,D
SP,14,M,0,,,,,,E
SP,14,F,0,,,,,,Q
SP,13,M,0,423.3,459.2,492.3,405.2,340.0,C
SP,14,F,0,449.5,486.6,563.6,484.9,520.0,C
SP,13,M,0,,,,,,J
SP,14,F,0,,,,,,A
SP,14,M,0,590.6,645.8,592.9,639.9,640.0,O
SP,13,M,0,366.6,358.5,440.5,462.0,540.0,C
RS,14,F,0,,621.7,578.6,,700.0,O
SP,14,F,1,431.0,580.0,562.6,539.3,820.0,O
SP,14,M,1,571.6,576.9,569.8,759.8,820.0,E
SP,14,M,1,459.4,557.4,537.0,459.8,580.0,M
SC,14,M,0,,,,,,Q
SC,14,F,1,386.7,469.1,477.7,442.2,640.0,K
PR,13,F,0,420.8,365.7,421.2,435.9,280.0,E
SC,14,M,1,559.5,615.2,555.1,557.7,720.0,I
PR,14,F,1,445.0,515.9,585.4,558.6,560.0,I
PR,14,F,0,503.4,539.8,534.1,538.5,580.0,H
PR,14,M,1,463.5,475.2,520.5,515.5,360.0,D
SP,14,M,0,566.6,565.1,564.3,722.4,680.0,L
SP,14,F,0,349.4,376.9,472.7,377.6,240.0,C
PR,14,F,1,,,,,,P
PR,14,F,0,490.1,518.4,566.8,683.9,700.0,Q
SP,14,F,0,480.3,575.2,565.6,577.0,640.0,C
SP,14,F,0,563.4,522.2,472.0,528.3,680.0,M
PR,14,F,1,504.9,461.6,454.3,452.0,540.0,L
SC,14,F,0,538.7,556.1,585.2,597.5,820.0,P
SE,14,F,0,354.6,496.3,512.7,421.0,600.0,A
SE,14,F,0,469.2,550.6,538.6,563.6,800.0,C
SE,14,F,0,448.2,581.7,586.3,483.9,820.0,F
BA,14,M,0,,515.1,503.9,,660.0,C
RO,14,F,1,506.9,609.2,567.1,454.2,520.0,I
PE,14,F,0,541.9,525.2,498.9,532.2,740.0,D
AL,14,F,0,,,,,,D
SE,14,F,1,390.2,463.3,567.9,528.9,560.0,B
BA,14,F,1,562.3,583.4,592.8,523.7,940.0,J
BA,14,F,1,403.2,410.1,463.1,492.0,260.0,B
PE,14,F,1,581.7,628.1,586.3,669.9,880.0,D
AL,14,F,1,,,,,,E
BA,14,F,1,425.6,454.6,415.7,370.0,340.0,E
BA,14,M,0,,,,,,B
RO,14,F,0,,540.3,529.1,,340.0,G
SE,14,F,1,436.1,555.7,541.4,428.1,820.0,C
SE,14,F,0,382.6,493.8,530.6,448.1,600.0,F
RO,14,F,0,504.6,539.7,542.4,616.1,640.0,P
RO,14,F,0,434.0,526.8,521.6,489.5,340.0,D
RO,14,F,1,525.6,515.3,506.0,501.9,600.0,D
PE,14,F,0,487.0,481.0,523.8,569.4,600.0,O
SE,14,F,0,,400.8,422.9,,0.0,Q
BA,14,M,0,,,,,,B
RO,14,F,1,495.6,464.8,490.3,363.5,560.0,H
BA,14,M,0,373.2,412.6,499.8,390.9,660.0,Q
PE,14,F,1,382.9,333.4,464.7,583.9,480.0,F
PE,14,M,1,368.1,490.8,462.0,486.7,420.0,B
BA,14,F,1,527.9,446.9,515.5,501.6,640.0,F
PE,14,M,0,523.5,535.6,490.8,573.9,600.0,I
PE,14,F,1,423.3,502.2,562.7,575.3,640.0,I
PE,14,F,1,,366.5,361.5,,0.0,C
SE,14,M,0,607.2,628.4,622.9,663.6,480.0,I
BA,14,M,1,417.9,368.3,391.4,559.4,480.0,G
PE,14,F,0,346.7,348.7,480.1,521.9,360.0,D
RO,14,F,0,338.1,488.3,479.6,427.0,560.0,D
RO,14,F,0,499.8,608.7,600.2,615.9,580.0,Q
PE,14,F,1,,,,,,L
PE,14,F,1,380.5,466.1,414.1,432.3,500.0,K
PE,14,M,1,536.7,588.0,555.4,595.6,640.0,A
AL,14,M,0,398.6,365.8,414.6,435.0,0.0,M
SE,14,M,1,552.3,590.7,582.2,561.9,440.0,D
AL,14,F,0,523.3,495.4,520.8,516.5,440.0,F
BA,14,M,0,551.2,600.3,599.2,678.7,740.0,Q
BA,14,M,0,601.4,621.8,621.9,707.1,880.0,K
BA,14,M,0,403.3,469.4,510.5,608.9,760.0,A
PE,14,F,0,518.9,458.6,481.1,418.3,0.0,B
PE,14,M,0,393.1,441.6,415.6,489.7,0.0,E
PE,14,F,0,511.5,573.2,521.6,650.8,640.0,G
AL,14,M,0,559.1,622.7,581.5,714.4,640.0,E
SE,14,F,0,347.1,400.8,332.1,480.0,360.0,M
BA,14,F,1,349.4,418.4,470.9,474.3,0.0,B
MG,14,M,1,428.9,574.6,527.6,582.0,540.0,F
MG,14,M,0,435.3,406.7,376.5,386.5,360.0,D
SE,14,F,0,,,,,,F
BA,14,M,1,579.3,620.9,595.1,623.9,720.0,P
BA,14,M,0,352.7,483.6,522.2,514.5,600.0,E
MG,14,F,0,537.2,549.4,579.4,631.9,700.0,L
MG,14,F,1,451.0,455.3,505.0,467.2,520.0,B
AL,14,F,0,,,,,,F
SE,14,F,1,543.4,579.8,513.2,560.7,780.0,E
SE,14,M,0,361.0,,,604.1,,M
BA,14,F,0,452.9,553.2,539.4,519.6,580.0,I
MG,14,M,0,571.1,654.4,636.2,623.9,780.0,F
MG,14,F,0,472.3,360.4,496.4,381.7,640.0,C
SE,14,F,0,380.0,381.9,463.9,562.6,620.0,E
SE,14,M,0,545.7,449.6,578.9,633.7,700.0,F
BA,14,F,1,396.4,461.6,463.3,507.4,500.0,G
BA,14,F,1,437.2,422.2,534.5,379.0,480.0,B
BA,14,F,0,499.6,486.8,549.6,587.5,720.0,B
BA,14,F,0,422.9,513.2,526.8,470.6,580.0,B
BA,14,M,1,469.5,537.7,521.6,597.9,560.0,O
BA,14,F,0,,413.9,516.9,,380.0,D
BA,14,F,1,371.3,358.1,376.9,372.4,400.0,A
BA,14,F,1,588.4,592.9,595.8,470.7,620.0,Q
SE,14,F,0,487.5,593.9,557.1,454.2,600.0,I
BA,14,F,1,436.0,381.3,475.9,390.6,600.0,G
BA,14,F,1,478.8,507.0,515.3,601.7,520.0,D
MG,14,F,0,563.8,608.4,591.0,596.5,680.0,K
PE,14,F,1,506.6,487.0,524.4,482.8,500.0,G
SE,14,F,0,522.1,552.4,563.2,504.7,780.0,N
SE,14,F,0,396.8,552.1,517.2,543.6,560.0,C
SE,14,F,0,453.5,433.5,489.3,573.5,620.0,D
BA,14,F,0,,375.1,572.6,,820.0,C
BA,14,M,0,447.7,580.1,564.3,542.9,560.0,B
BA,8,F,0,437.4,391.4,496.9,425.5,640.0,B
BA,14,M,0,423.9,545.8,504.1,404.5,560.0,N
MG,13,F,0,586.3,646.2,587.7,649.1,700.0,I
MG,14,M,0,434.1,559.7,554.5,619.2,720.0,G
SE,14,M,0,563.4,624.1,596.3,653.7,820.0,D
BA,14,M,1,555.7,648.2,653.0,716.7,640.0,J
SE,14,F,0,386.8,417.2,466.8,441.3,560.0,G
BA,14,F,1,441.2,404.4,516.0,559.3,620.0,F
BA,14,F,1,354.3,399.1,449.7,373.5,580.0,G
BA,14,M,0,422.8,450.5,527.8,600.2,540.0,N
BA,14,F,1,443.8,407.3,493.3,413.6,620.0,B
MG,14,F,1,507.4,492.2,519.5,515.9,720.0,G
PE,14,F,1,432.1,409.5,477.8,458.7,560.0,D
AL,14,F,0,366.4,485.9,459.5,459.4,480.0,D
SE,14,F,0,465.7,450.2,478.0,422.3,560.0,I
BA,14,F,0,548.4,488.7,556.9,634.9,640.0,A
BA,14,M,1,464.5,523.6,528.1,664.5,580.0,I
BA,14,F,1,535.7,536.6,498.6,452.6,800.0,Q
BA,14,F,1,450.1,486.7,486.4,585.9,880.0,G
BA,14,F,0,521.4,575.6,572.0,691.5,660.0,O
SE,14,M,0,406.4,448.0,464.0,458.3,280.0,H
SE,14,M,1,583.5,628.8,587.8,662.0,840.0,J
SE,14,F,1,451.2,391.9,530.6,406.5,480.0,C
BA,14,M,1,576.8,566.6,560.5,521.2,580.0,L
MG,14,F,0,419.3,558.1,546.4,582.7,640.0,E
MG,14,F,0,517.1,550.3,578.1,565.7,640.0,G
PE,14,M,1,414.0,465.0,454.3,432.6,480.0,C
SE,14,F,0,364.0,558.7,564.3,611.4,660.0,G
BA,14,M,0,474.6,555.7,502.6,423.8,580.0,C
AL,14,F,0,,522.1,545.8,,760.0,C
SE,14,F,0,427.8,363.5,464.5,406.7,460.0,B
SE,14,F,0,539.5,562.8,550.4,587.3,720.0,E
SE,14,F,1,537.8,513.5,488.0,441.6,660.0,C
SE,14,F,0,400.7,560.9,508.4,486.5,860.0,B
BA,14,F,0,365.3,373.0,437.3,362.2,620.0,C
MG,13,M,0,433.4,416.4,460.6,492.4,500.0,E
AL,14,M,1,522.9,575.0,540.7,0.0,860.0,G
SE,14,F,0,510.3,564.6,555.8,625.7,720.0,D
SE,14,F,1,,,,,,B
SE,14,M,0,384.4,454.8,493.1,451.7,460.0,H
BA,14,M,0,404.2,391.2,455.0,394.5,460.0,H
RJ,14,F,1,411.1,497.2,547.2,531.1,520.0,N
MG,14,F,0,555.8,673.5,659.6,773.2,920.0,Q
RJ,14,F,0,457.0,356.9,515.1,451.2,580.0,B
MG,14,F,0,517.9,580.5,636.7,664.9,760.0,I
MG,14,M,0,414.3,477.4,504.6,533.2,320.0,H
MG,14,M,0,599.1,559.6,538.4,671.5,0.0,K
BA,14,M,1,380.3,451.9,540.0,550.0,940.0,O
MG,14,M,0,,523.9,551.0,,480.0,G
MG,8,F,0,378.2,504.3,503.9,504.5,400.0,D
MG,8,F,0,596.5,653.5,635.8,859.0,960.0,Q
MG,14,F,0,,495.6,583.0,,0.0,H
MG,14,M,0,623.0,606.1,589.2,772.9,680.0,K
SP,14,F,0,488.0,585.3,533.5,528.0,760.0,D
MG,14,M,0,536.6,346.3,444.0,399.7,480.0,E
MG,14,F,0,475.5,453.5,506.1,406.6,240.0,E
BA,14,F,1,433.5,469.7,499.8,475.9,0.0,E
SP,14,F,0,,455.9,505.1,,420.0,L
MG,14,F,0,508.0,496.5,539.9,610.4,760.0,K
MG,14,F,0,452.4,451.4,477.8,491.9,0.0,D
RJ,14,M,0,365.8,524.8,478.0,466.9,580.0,I
MA,14,F,1,403.5,563.6,493.9,517.6,340.0,C
PI,14,F,1,431.3,451.6,474.8,456.3,600.0,B
MA,14,F,1,,,,,,C
MA,14,F,1,405.4,482.9,513.6,494.0,680.0,J
MA,14,F,1,432.5,523.8,547.8,600.2,0.0,E
CE,14,F,1,476.3,522.4,520.0,387.7,960.0,D
AM,13,F,0,475.5,528.0,521.5,549.7,440.0,B
AM,14,M,1,495.3,559.4,559.0,554.5,540.0,P
MA,14,F,1,508.3,533.5,517.9,558.3,520.0,F
MA,14,F,1,433.1,473.8,455.6,457.3,260.0,B
PI,14,F,0,569.9,588.4,589.5,742.1,0.0,G
CE,14,F,1,577.0,533.3,564.2,606.5,840.0,E
CE,14,F,0,453.7,569.7,570.9,702.2,680.0,H
MA,14,F,0,498.9,567.7,535.0,628.3,660.0,G
PI,14,M,1,,,,,,Q
CE,14,M,0,455.2,504.7,566.8,675.7,600.0,G
CE,14,M,1,,448.9,388.2,,700.0,A
MA,14,F,0,356.4,455.4,450.8,440.7,600.0,E
MA,14,M,0,505.5,542.7,573.3,544.4,560.0,G
MA,14,M,1,398.1,366.3,459.5,567.5,0.0,C
PI,14,F,0,375.7,360.2,423.0,466.9,400.0,C
TO,14,M,0,549.0,522.7,500.1,512.8,520.0,P
MA,14,F,0,531.0,562.6,580.4,552.7,880.0,B
CE,14,M,0,,520.7,561.8,,480.0,I
CE,14,F,0,,567.8,578.4,,680.0,L
TO,14,F,0,,,,,,Q
MA,10,F,0,,,,,,B
CE,14,F,1,436.0,497.3,490.3,464.7,480.0,C
CE,14,M,1,424.7,560.0,546.7,444.9,600.0,K
TO,13,M,0,,,,,,C
MA,14,F,1,551.9,570.7,606.6,568.1,620.0,C
PI,14,F,0,364.0,439.8,447.8,441.0,520.0,B
CE,13,F,1,399.8,409.0,521.4,425.0,600.0,B
CE,14,F,0,,,,,,L
AC,14,F,1,474.3,531.8,542.2,565.5,540.0,F
RR,14,F,1,586.4,568.8,555.3,661.9,580.0,G
TO,14,M,0,390.4,383.1,474.4,453.9,720.0,D
CE,14,F,0,555.3,486.2,529.2,569.9,600.0,I
RN,14,F,0,512.9,516.7,592.3,705.6,940.0,P
RN,14,F,1,483.8,455.0,505.9,562.3,540.0,N
AM,14,M,0,515.4,507.8,525.6,447.4,520.0,J
MA,14,M,0,521.8,584.9,533.3,633.8,760.0,P
MA,14,F,1,501.6,508.6,533.7,616.3,640.0,D
PI,14,F,1,529.9,559.3,557.6,618.1,680.0,G
AM,14,F,0,451.7,551.8,601.7,517.7,680.0,K
AP,14,F,1,566.2,627.4,643.7,621.3,580.0,P
MA,14,M,1,443.6,332.1,449.9,420.7,240.0,A
MA,14,F,1,528.1,517.3,496.3,586.6,840.0,C
PI,14,F,1,524.1,552.2,570.9,598.2,780.0,F
AC,14,F,0,,,,,,I
AM,14,F,1,578.4,669.1,643.6,548.2,680.0,Q
TO,14,F,0,462.5,563.1,496.1,527.6,640.0,Q
MA,14,F,1,551.8,518.1,563.1,621.1,720.0,O
PI,14,F,0,369.2,373.6,426.2,460.2,360.0,D
RN,14,M,1,638.0,641.3,605.5,785.9,680.0,H
RN,14,F,0,622.8,563.2,566.3,682.2,840.0,E
CE,14,F,0,454.9,394.1,474.4,454.3,620.0,B
MA,14,F,0,413.2,371.8,479.5,536.1,620.0,I
MA,8,M,0,523.3,514.5,557.8,581.9,620.0,C
MA,14,M,1,340.6,420.4,461.1,410.9,600.0,C
AM,14,F,1,376.8,343.6,448.0,433.4,460.0,C
MA,14,F,0,452.7,407.6,374.3,382.5,500.0,D
MA,14,F,1,502.0,523.6,562.9,511.2,660.0,D
PI,14,M,1,467.0,526.8,535.1,585.2,520.0,B
AC,14,M,0,458.3,538.3,515.6,566.0,600.0,C
SP,14,M,0,488.3,389.9,355.6,611.4,380.0,F
SP,14,F,0,372.1,466.1,495.6,623.4,660.0,P
SP,14,F,0,470.7,,,594.6,,J
RN,14,F,1,496.9,503.7,573.4,517.3,640.0,Q
SP,14,M,1,563.9,509.4,492.1,576.4,420.0,H
SP,14,F,0,,462.9,523.0,,800.0,G
SP,14,M,0,476.5,514.2,503.5,606.7,260.0,E
SP,14,F,0,474.9,522.0,543.4,659.1,700.0,O
SP,8,M,0,389.4,525.7,551.7,513.4,360.0,E
RO,14,F,0,474.0,446.2,555.8,435.2,560.0,B
SP,14,M,0,,,,,,E
SP,14,F,0,,,,,,C
SP,14,F,0,,,,,,C
SP,14,F,0,545.3,613.2,586.9,709.4,740.0,N
RO,14,F,0,,,,,,I
RO,14,M,0,389.8,519.5,515.6,418.8,480.0,B
RO,14,F,1,576.2,601.6,586.7,760.6,680.0,G
SP,14,F,0,,,,,,H
RO,14,M,0,,532.9,538.8,,540.0,I
RO,14,F,0,381.1,450.2,436.1,416.7,420.0,J
RN,14,F,1,441.5,486.1,411.8,518.9,0.0,D
RN,13,F,0,430.7,470.8,504.3,445.5,520.0,D
SP,14,F,0,505.6,581.1,625.2,542.6,940.0,C
SP,14,F,0,546.5,546.7,562.5,423.3,680.0,P
SP,13,M,0,,,,,,F
SP,14,M,1,554.5,468.0,517.9,582.0,940.0,N
SP,14,F,0,599.4,576.2,546.6,587.4,720.0,M
SP,14,F,1,486.3,452.8,576.8,406.7,560.0,D
SP,14,F,0,426.3,426.8,472.2,515.6,500.0,I
SP,13,M,0,464.3,373.7,411.5,493.4,320.0,E
SP,14,M,0,494.3,432.8,509.8,484.8,260.0,C
SP,14,M,1,393.8,460.9,485.0,427.2,580.0,D
SP,14,M,0,435.9,426.6,440.8,409.5,440.0,H
SP,14,F,0,448.5,493.8,556.6,483.0,520.0,G
SP,14,F,0,,,,,,Q
PR,14,M,1,587.7,578.9,589.0,689.3,600.0,J
PR,14,M,1,476.2,575.7,577.5,538.0,500.0,F
SP,14,F,0,475.6,567.5,554.8,566.6,520.0,C
PR,14,F,0,527.5,558.7,588.8,489.6,560.0,D
SP,14,F,0,482.9,543.2,545.3,575.8,300.0,H
SP,13,M,0,432.2,339.1,408.1,479.5,480.0,C
PR,14,M,0,,,,,,F
PR,14,F,1,384.9,383.2,479.5,449.8,260.0,H
PR,14,F,0,,506.6,525.3,,600.0,G
SP,14,F,0,401.3,567.5,577.3,626.7,580.0,G
PR,13,F,1,,389.2,418.1,,0.0,C
